Incident_Report,Root_Cause
"Call ALR-360601 | EDI/API Data Mismatch on HLCU5962669 at PSA Keppel | Issue: Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container HLCU5962669 milestones appeared out-of-order on the portal; EDIFACT CODECO 'Gate Out' overshadowed later 'Loaded' event.","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container HLCU5962669 milestones appeared out-of-order on the portal; EDIFACT CODECO 'Gate Out' overshadowed later 'Loaded' event."
Alert: SMS TCK-265455 | Issue: Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Part.,Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Partner Partner-B reported delayed acknowledgements; PSA Tanjong Pagar ops not impacted.
Alert: SMS TCK-936729 | Issue: ANSI X12 301 inconsistency for MV SILVER CURRENT/43C:,"ANSI X12 301 inconsistency for MV SILVER CURRENT/43C: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots."
"Subject: Email ALR-535708 | EDI Parsing Issue on EDIFACT CODECO (translator quarantine) Dear Team,

EDIFACT CODECO duplicate detected with conflicting control numbers; later message had older eventTime.",EDIFACT CODECO duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression.
"Alert: SMS TCK-142185 | Issue: Customs flag toggled incorrectly for EMCU1669540, causing manual hold. Downstream feeds showed 'Hold.","Customs flag toggled incorrectly for EMCU1669540, causing manual hold. Downstream feeds showed 'Hold' while TOS remained 'Available' at PSA Keppel."
"Subject: Email ALR-881385 | Vessel MV STELLAR WIND/43C exception at Tuas Port

Dear Team,

Schedule API intermittently returns 401 for MV STELLAR WIND/43C; slowest 5% of requests latency > 12s.",Schedule API intermittently returns 401 for MV STELLAR WIND/43C; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Tuas Port.
Alert: SMS INC-782713 | Issue: Field mapping mismatch across systems for container ONEU7200552. Partner Partner-E posted EDIFACT CO.,"Field mapping mismatch across systems for container ONEU7200552. Partner Partner-E posted EDIFACT COPRAR with size/type as 22G1, but our master lists 45R1."
Call ALR-717476 | Container MAEU0713758 exception reported at PSA Tanjong Pagar | Issue: Discrepancy between customer portal and TOS for container MAEU0713758 on voyage RT33.,Discrepancy between customer portal and TOS for container MAEU0713758 on voyage RT33. Portal shows 'Loaded @ TU13' while TOS indicates 'In Yard - Block A1'.
"Alert: SMS INC-125434 | Issue: ETA/ETB mismatch for MV PACIFIC GLORY (IMO 6309714, CS-7KZV3) on voyage 002E. Berth plan shows ETB a. Please check immediately.","ETA/ETB mismatch for MV PACIFIC GLORY (IMO 6309714, CS-7KZV3) on voyage 002E. Berth plan shows ETB at BP01 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Keppel reflects older figures."
"Subject: Email INC-619806 | API Failure on /bookings/v1 impacting partner traffic

Dear Team,

OAuth token rejection spikes on '/bookings/v1'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened.",OAuth token rejection spikes on '/bookings/v1'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened.
